geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_state,geolocation_city,geometry
1025,-23.540291945676326,-46.630928059419446,sp,sao paulo,POINT (-46.63092805941945 -23.54029194567633)
1026,-23.539657127270942,-46.6318842127058,sp,sao paulo,POINT (-46.6318842127058 -23.53965712727095)
1027,-23.538082328385336,-46.6306686750678,sp,sao paulo,POINT (-46.6306686750678 -23.53808232838534)
1028,-23.535932541180536,-46.63355514575825,sp,sao paulo,POINT (-46.63355514575825 -23.53593254118054)
1029,-23.54137304898053,-46.63341598844303,sp,sao paulo,POINT (-46.63341598844303 -23.54137304898054)
1030,-23.53954929175343,-46.633023251513535,sp,sao paulo,POINT (-46.63302325151354 -23.53954929175343)
1031,-23.54190585344045,-46.63508761691669,sp,sao paulo,POINT (-46.63508761691669 -23.54190585344045)
1032,-23.540124454559955,-46.63519354379768,sp,sao paulo,POINT (-46.63519354379768 -23.54012445455995)
1033,-23.539271437077804,-46.635878084214845,sp,sao paulo,POINT (-46.63587808421484 -23.5392714370778)
1034,-23.542515317419948,-46.63736744880091,sp,sao paulo,POINT (-46.63736744880091 -23.54251531741995)
1035,-23.541614488738944,-46.64154914252652,sp,sao paulo,POINT (-46.64154914252651 -23.54161448873894)
1036,-23.541648452336283,-46.641443277359336,sp,sao paulo,POINT (-46.64144327735934 -23.54164845233628)
1037,-23.54541101645408,-46.63892437204838,sp,sao paulo,POINT (-46.63892437204838 -23.54541101645408)
1038,-23.54390737962768,-46.63999380609391,sp,sao paulo,POINT (-46.63999380609391 -23.54390737962768)
1039,-23.54137085777194,-46.63916528885119,sp,sao paulo,POINT (-46.63916528885119 -23.54137085777194)
1040,-23.541028179008823,-46.63832469496941,sp,sao paulo,POINT (-46.63832469496941 -23.54102817900882)
1041,-23.54390458746036,-46.64004648644472,sp,sao paulo,POINT (-46.64004648644472 -23.54390458746036)
1042,-23.54485294953175,-46.640410456031695,sp,sao paulo,POINT (-46.6404104560317 -23.54485294953175)
1043,-23.545765991186386,-46.64150246454141,sp,sao paulo,POINT (-46.6415024645414 -23.54576599118638)
1044,-23.545598238423416,-46.64145267015315,sp,sao paulo,POINT (-46.64145267015315 -23.54559823842342)
1045,-23.54234536617856,-46.64252697570119,sp,sao paulo,POINT (-46.64252697570119 -23.54234536617856)
1046,-23.54593003916881,-46.64399751778182,sp,sao paulo,POINT (-46.64399751778182 -23.54593003916881)
1047,-23.546187607081748,-46.64106743356167,sp,sao paulo,POINT (-46.64106743356167 -23.54618760708175)
1048,-23.54711318884073,-46.63983987489639,sp,sao paulo,POINT (-46.63983987489639 -23.54711318884073)
1049,-23.54701123674601,-46.63916570493306,sp,sao paulo,POINT (-46.63916570493306 -23.54701123674601)
1050,-23.54922916358051,-46.64303023455153,sp,sao paulo,POINT (-46.64303023455153 -23.54922916358051)
1101,-23.528286860378213,-46.631957535031056,sp,sao paulo,POINT (-46.63195753503106 -23.52828686037821)
1102,-23.52557140695574,-46.63028748439394,sp,sao paulo,POINT (-46.63028748439394 -23.52557140695574)
1103,-23.53546844605213,-46.630290773383486,sp,sao paulo,POINT (-46.63029077338349 -23.53546844605213)
1104,-23.534952165368537,-46.62957039061347,sp,sao paulo,POINT (-46.62957039061347 -23.53495216536854)
1105,-23.53409398177586,-46.62907768017333,sp,sao paulo,POINT (-46.62907768017332 -23.53409398177586)
1106,-23.53022077513783,-46.62822125953078,sp,sao paulo,POINT (-46.62822125953078 -23.53022077513783)
1107,-23.52608789203137,-46.6295898871866,sp,sao paulo,POINT (-46.6295898871866 -23.52608789203137)
1108,-23.52723217132549,-46.63035441819986,sp,sao paulo,POINT (-46.63035441819986 -23.52723217132549)
1109,-23.524624899587646,-46.627103243360565,sp,sao paulo,POINT (-46.62710324336057 -23.52462489958765)
1120,-23.53016252975312,-46.63951141166309,sp,sao paulo,POINT (-46.63951141166309 -23.53016252975311)
1121,-23.527866658998825,-46.635256920492864,sp,sao paulo,POINT (-46.63525692049286 -23.52786665899882)
1122,-23.53113059653861,-46.638324826141925,sp,sao paulo,POINT (-46.63832482614193 -23.53113059653861)
1123,-23.529164543710603,-46.636582392674725,sp,sao paulo,POINT (-46.63658239267473 -23.5291645437106)
1124,-23.528221233825743,-46.6330954010969,sp,sao paulo,POINT (-46.6330954010969 -23.52822123382574)
1125,-23.52728844957164,-46.64016432350874,sp,sao paulo,POINT (-46.64016432350874 -23.52728844957164)
1126,-23.52706654933756,-46.6391527868084,sp,sao paulo,POINT (-46.6391527868084 -23.52706654933756)
1127,-23.52548080336663,-46.64159548852641,sp,sao paulo,POINT (-46.64159548852641 -23.52548080336663)
1128,-23.523786738657147,-46.64220966455253,sp,sao paulo,POINT (-46.64220966455253 -23.52378673865715)
1129,-23.524051385464382,-46.64507304012999,sp,sao paulo,POINT (-46.64507304012999 -23.52405138546438)
1130,-23.52483082086712,-46.64492992157746,sp,sao paulo,POINT (-46.64492992157746 -23.52483082086712)
1131,-23.522379737671027,-46.64310784736644,sp,sao paulo,POINT (-46.64310784736644 -23.52237973767103)
1132,-23.52153987930432,-46.64873923331728,sp,sao paulo,POINT (-46.64873923331728 -23.52153987930432)
1133,-23.52042428170985,-46.65332230946677,sp,sao paulo,POINT (-46.65332230946677 -23.52042428170985)
1134,-23.518899939878285,-46.65269033643667,sp,sao paulo,POINT (-46.65269033643667 -23.51889993987828)
1135,-23.52619042672918,-46.65097004120221,sp,sao paulo,POINT (-46.65097004120221 -23.52619042672918)
1136,-23.52398692018172,-46.66135135045779,sp,sao paulo,POINT (-46.66135135045779 -23.52398692018171)
1137,-23.52285148032212,-46.65280923153935,sp,sao paulo,POINT (-46.65280923153935 -23.52285148032211)
1138,-23.522455823939264,-46.65525390366426,sp,sao paulo,POINT (-46.65525390366426 -23.52245582393926)
1139,-23.52072495607176,-46.66593897144172,sp,sao paulo,POINT (-46.66593897144172 -23.52072495607175)
1140,-23.52043844370904,-46.66923716844039,sp,sao paulo,POINT (-46.66923716844039 -23.52043844370904)
1141,-23.520310325905555,-46.666439013917504,sp,sao paulo,POINT (-46.6664390139175 -23.52031032590556)
1142,-23.519934305152635,-46.6251300217966,sp,sao paulo,POINT (-46.6251300217966 -23.51993430515263)
1144,-23.523572749295845,-46.67242459028445,sp,sao paulo,POINT (-46.67242459028445 -23.52357274929584)
1150,-23.53295302359728,-46.65824594266135,sp,sao paulo,POINT (-46.65824594266135 -23.53295302359728)
1151,-23.531641584683715,-46.656288753249086,sp,sao paulo,POINT (-46.65628875324909 -23.53164158468372)
1152,-23.529884845741268,-46.65527643333266,sp,sao paulo,POINT (-46.65527643333266 -23.52988484574127)
1153,-23.52993084629876,-46.65354908690436,sp,sao paulo,POINT (-46.65354908690436 -23.52993084629875)
1154,-23.530535897249937,-46.65929570388055,sp,sao paulo,POINT (-46.65929570388055 -23.53053589724994)
1155,-23.529072884025176,-46.66331995168207,sp,sao paulo,POINT (-46.66331995168207 -23.52907288402518)
1156,-23.52892113830292,-46.66643724514499,sp,sao paulo,POINT (-46.66643724514499 -23.52892113830291)
1189,-23.53210825506378,-46.63839470107914,sp,sao paulo,POINT (-46.63839470107914 -23.53210825506378)
1200,-23.531567773241413,-46.64986907784642,sp,sao paulo,POINT (-46.64986907784642 -23.53156777324141)
1201,-23.53608280967418,-46.64953939046932,sp,sao paulo,POINT (-46.64953939046931 -23.53608280967418)
1202,-23.533742576459336,-46.64828045105447,sp,sao paulo,POINT (-46.64828045105447 -23.53374257645934)
1203,-23.53596465666132,-46.64529955632679,sp,sao paulo,POINT (-46.64529955632679 -23.53596465666132)
1204,-23.53599263946852,-46.64408982260722,sp,sao paulo,POINT (-46.64408982260722 -23.53599263946851)
1205,-23.536490774893963,-46.64264196680963,sp,sao paulo,POINT (-46.64264196680963 -23.53649077489396)
1206,-23.53586368511747,-46.64281871336397,sp,sao paulo,POINT (-46.64281871336397 -23.53586368511747)
1207,-23.539175560135185,-46.63865415001012,sp,sao paulo,POINT (-46.63865415001012 -23.53917556013518)
1208,-23.538660495662256,-46.63898204602016,sp,sao paulo,POINT (-46.63898204602016 -23.53866049566226)
1209,-23.540695255566067,-46.64158293572283,sp,sao paulo,POINT (-46.64158293572283 -23.54069525556607)
1210,-23.54003934055892,-46.64209131081347,sp,sao paulo,POINT (-46.64209131081347 -23.54003934055892)
1211,-23.53757657410565,-46.648837901189005,sp,sao paulo,POINT (-46.648837901189 -23.53757657410565)
1212,-23.538268511790665,-46.63942263256764,sp,sao paulo,POINT (-46.63942263256764 -23.53826851179067)
1213,-23.53650149461516,-46.64036116340707,sp,sao paulo,POINT (-46.64036116340707 -23.53650149461516)
1214,-23.538842493961862,-46.645230453060144,sp,sao paulo,POINT (-46.64523045306014 -23.53884249396186)
1215,-23.536167399914945,-46.64754185786535,sp,sao paulo,POINT (-46.64754185786535 -23.53616739991494)
1216,-23.53312759396449,-46.647833807450674,sp,sao paulo,POINT (-46.64783380745067 -23.53312759396449)
1217,-23.532657557836487,-46.64888399298631,sp,sao paulo,POINT (-46.64888399298631 -23.53265755783649)
1218,-23.531249798864057,-46.648325141054045,sp,sao paulo,POINT (-46.64832514105404 -23.53124979886406)
1219,-23.54128881428637,-46.64569860301066,sp,sao paulo,POINT (-46.64569860301066 -23.54128881428637)
1220,-23.544514011109737,-46.64603990221942,sp,sao paulo,POINT (-46.64603990221942 -23.54451401110974)
1221,-23.54486769747208,-46.64828171537101,sp,sao paulo,POINT (-46.64828171537101 -23.54486769747208)
1222,-23.545944543973,-46.64936937401519,sp,sao paulo,POINT (-46.64936937401519 -23.545944543973)
1223,-23.54408811655856,-46.6485821171502,sp,sao paulo,POINT (-46.6485821171502 -23.54408811655856)
1224,-23.54177865147579,-46.65242233963953,sp,sao paulo,POINT (-46.65242233963953 -23.54177865147579)
1225,-23.53978602121373,-46.64913883151016,sp,sao paulo,POINT (-46.64913883151016 -23.53978602121373)
1226,-23.538010108905684,-46.65271926812756,sp,sao paulo,POINT (-46.65271926812756 -23.53801010890568)
1227,-23.54620191296881,-46.658384582734,sp,sao paulo,POINT (-46.65838458273399 -23.54620191296882)
1228,-23.545189379286004,-46.657610856988455,sp,sao paulo,POINT (-46.65761085698846 -23.545189379286)
1229,-23.538901609843467,-46.657291130376834,sp,sao paulo,POINT (-46.65729113037683 -23.53890160984347)
1230,-23.536310405918027,-46.65711200863413,sp,sao paulo,POINT (-46.65711200863413 -23.53631040591803)
1231,-23.536950407426133,-46.65925589278497,sp,sao paulo,POINT (-46.65925589278497 -23.53695040742613)
1232,-23.53642800353018,-46.65742601137803,sp,sao paulo,POINT (-46.65742601137803 -23.53642800353018)
1233,-23.53624654014996,-46.66166521796578,sp,sao paulo,POINT (-46.66166521796578 -23.53624654014996)
1234,-23.539689562251542,-46.66424403546395,sp,sao paulo,POINT (-46.66424403546395 -23.53968956225155)
1235,-23.53671427686228,-46.66466630391698,sp,sao paulo,POINT (-46.66466630391698 -23.53671427686227)
1236,-23.543550224431343,-46.66741941090643,sp,sao paulo,POINT (-46.66741941090643 -23.54355022443134)
1237,-23.54323445101232,-46.66872440228904,sp,sao paulo,POINT (-46.66872440228904 -23.54323445101232)
1238,-23.542571396851145,-46.65424333104067,sp,sao paulo,POINT (-46.65424333104067 -23.54257139685114)
1239,-23.5430952700848,-46.63105919621764,sp,sao paulo,POINT (-46.63105919621763 -23.5430952700848)
1240,-23.543791843442868,-46.658543962529855,sp,sao paulo,POINT (-46.65854396252985 -23.54379184344287)
1241,-23.54552478660237,-46.65784019308335,sp,sao paulo,POINT (-46.65784019308335 -23.54552478660237)
1242,-23.546506947085888,-46.65850174642453,sp,sao paulo,POINT (-46.65850174642453 -23.54650694708589)
1243,-23.548120304994384,-46.65919184884556,sp,sao paulo,POINT (-46.65919184884556 -23.54812030499438)
1244,-23.56204912797664,-46.65959031403356,sp,sao paulo,POINT (-46.65959031403356 -23.56204912797664)
1245,-23.5494755238467,-46.66382107418295,sp,sao paulo,POINT (-46.66382107418295 -23.5494755238467)
1246,-23.55348129524968,-46.666318477031005,sp,sao paulo,POINT (-46.66631847703101 -23.55348129524968)
1247,-23.55063807285042,-46.66865580450115,sp,sao paulo,POINT (-46.66865580450115 -23.55063807285042)
1248,-23.54791252484105,-46.6680263133255,sp,sao paulo,POINT (-46.6680263133255 -23.54791252484105)
1249,-23.54841989244908,-46.67122044555848,sp,sao paulo,POINT (-46.67122044555848 -23.54841989244908)
1250,-23.547640483075995,-46.67197263354333,sp,sao paulo,POINT (-46.67197263354333 -23.54764048307599)
1251,-23.54837451640475,-46.67484647170287,sp,sao paulo,POINT (-46.67484647170287 -23.54837451640475)
1252,-23.541753975470872,-46.67893404000763,sp,sao paulo,POINT (-46.67893404000763 -23.54175397547087)
1253,-23.54492912635292,-46.679164692087,sp,sao paulo,POINT (-46.679164692087 -23.54492912635292)
1254,-23.543337420255035,-46.680852402934015,sp,sao paulo,POINT (-46.68085240293401 -23.54333742025504)
1255,-23.546369835319183,-46.68154172682528,sp,sao paulo,POINT (-46.68154172682528 -23.54636983531918)
1256,-23.547773256174622,-46.682838349154586,sp,sao paulo,POINT (-46.68283834915459 -23.54777325617462)
1257,-23.54360983905432,-46.687838575110746,sp,sao paulo,POINT (-46.68783857511075 -23.54360983905432)
1258,-23.54403701732508,-46.68685091247136,sp,sao paulo,POINT (-46.68685091247136 -23.54403701732507)
1259,-23.541418553843283,-46.68530389676934,sp,sao paulo,POINT (-46.68530389676934 -23.54141855384328)
1262,-23.550856391462712,-46.67735184892536,sp,sao paulo,POINT (-46.67735184892536 -23.55085639146271)
1290,-23.54096134139296,-46.657748702752585,sp,sao paulo,POINT (-46.65774870275258 -23.54096134139296)
1301,-23.549328970281223,-46.65089009868754,sp,sao paulo,POINT (-46.65089009868754 -23.54932897028122)
1302,-23.549002921262293,-46.6495522786361,sp,sao paulo,POINT (-46.6495522786361 -23.54900292126229)
1303,-23.54950569815466,-46.64843251428849,sp,sao paulo,POINT (-46.64843251428849 -23.54950569815466)
1304,-23.554056434811184,-46.655202368713134,sp,sao paulo,POINT (-46.65520236871313 -23.55405643481118)
1305,-23.552622735865256,-46.652538288772064,sp,sao paulo,POINT (-46.65253828877206 -23.55262273586526)
1306,-23.55378520671892,-46.649605096945386,sp,sao paulo,POINT (-46.64960509694539 -23.55378520671891)
1307,-23.55277801011571,-46.65320770049062,sp,sao paulo,POINT (-46.65320770049062 -23.55277801011571)
1307,-23.55277801011571,-46.65320770049062,sp,sao bernardo do campo,POINT (-46.65320770049062 -23.55277801011571)
1308,-23.555981373614504,-46.65331111428114,sp,sao paulo,POINT (-46.65331111428114 -23.5559813736145)
1309,-23.55549308001593,-46.658452189500665,sp,sao paulo,POINT (-46.65845218950066 -23.55549308001594)
1310,-23.561652948469515,-46.65602130430728,sp,sao paulo,POINT (-46.65602130430728 -23.56165294846951)
1311,-23.564504609380947,-46.652792655953206,sp,sao paulo,POINT (-46.65279265595321 -23.56450460938095)
1312,-23.5547938726134,-46.64961491794625,sp,sao paulo,POINT (-46.64961491794625 -23.5547938726134)
1313,-23.556111699158382,-46.65057380587249,sp,sao paulo,POINT (-46.65057380587249 -23.55611169915838)
1314,-23.552640734461253,-46.64520437763303,sp,sao paulo,POINT (-46.64520437763303 -23.55264073446125)
1315,-23.55408999997805,-46.64038909569764,sp,sao paulo,POINT (-46.64038909569764 -23.55408999997805)
1316,-23.55295484539391,-46.6394328193213,sp,sao paulo,POINT (-46.6394328193213 -23.55295484539391)
1317,-23.556238213645067,-46.640059865228494,sp,sao paulo,POINT (-46.64005986522849 -23.55623821364507)
1318,-23.559447989888127,-46.642412737332194,sp,sao paulo,POINT (-46.64241273733219 -23.55944798988813)
1319,-23.55188165773143,-46.640727972716256,sp,sao paulo,POINT (-46.64072797271626 -23.55188165773143)
1320,-23.557955062291963,-46.6393473993254,sp,sao paulo,POINT (-46.63934739932539 -23.55795506229196)
1321,-23.56212863488459,-46.64191854981315,sp,sao paulo,POINT (-46.64191854981315 -23.56212863488459)
1322,-23.56317165882958,-46.64345614157524,sp,sao paulo,POINT (-46.64345614157524 -23.56317165882958)
1323,-23.56573478465023,-46.64147810312641,sp,sao paulo,POINT (-46.64147810312641 -23.56573478465023)
1324,-23.55521473546572,-46.6431507402032,sp,sao paulo,POINT (-46.6431507402032 -23.55521473546572)
1325,-23.557390163497686,-46.64445833667602,sp,sao paulo,POINT (-46.64445833667602 -23.55739016349769)
1326,-23.55653901468896,-46.645439561798014,sp,sao paulo,POINT (-46.64543956179801 -23.55653901468896)
1327,-23.565113424714426,-46.644944579328765,sp,sao paulo,POINT (-46.64494457932877 -23.56511342471443)
1328,-23.555992686485013,-46.64679480230547,sp,sao paulo,POINT (-46.64679480230547 -23.55599268648501)
1329,-23.56197752132482,-46.64728109566715,sp,sao paulo,POINT (-46.64728109566715 -23.56197752132482)
1330,-23.559037886116048,-46.64945883730208,sp,sao paulo,POINT (-46.64945883730208 -23.55903788611605)
1331,-23.56266441471218,-46.64999665805783,sp,sao paulo,POINT (-46.64999665805783 -23.56266441471218)
1332,-23.55956858757865,-46.65245164487606,sp,sao paulo,POINT (-46.65245164487606 -23.55956858757865)
1333,-23.56643505240895,-46.64756359661896,sp,sao paulo,POINT (-46.64756359661896 -23.56643505240895)
1401,-23.575807250351687,-46.6586546272466,sp,sao paulo,POINT (-46.6586546272466 -23.57580725035169)
1402,-23.57483739004908,-46.65739203989358,sp,sao paulo,POINT (-46.65739203989358 -23.57483739004908)
1403,-23.56875503877107,-46.65340944414581,sp,sao paulo,POINT (-46.65340944414581 -23.56875503877107)
1404,-23.56854473362845,-46.65578027665806,sp,sao paulo,POINT (-46.65578027665806 -23.56854473362845)
1405,-23.5647625796344,-46.65513838518373,sp,sao paulo,POINT (-46.65513838518373 -23.56476257963439)
1406,-23.574814338967823,-46.67029927274052,sp,sao paulo,POINT (-46.67029927274052 -23.57481433896783)
1407,-23.576111884428947,-46.67139205737759,sp,sao paulo,POINT (-46.67139205737759 -23.57611188442895)
1408,-23.56711189502811,-46.66081341581779,sp,sao paulo,POINT (-46.66081341581779 -23.56711189502811)
1409,-23.56146082458661,-46.6582620039177,sp,sao paulo,POINT (-46.6582620039177 -23.56146082458661)
1410,-23.562831445869627,-46.66092524802457,sp,sao paulo,POINT (-46.66092524802457 -23.56283144586963)
1411,-23.56424786754298,-46.66405956794994,sp,sao paulo,POINT (-46.66405956794994 -23.56424786754298)
1412,-23.563651580737663,-46.66602412107524,sp,sao paulo,POINT (-46.66602412107524 -23.56365158073767)
1413,-23.56181450412445,-46.66403395427192,sp,sao paulo,POINT (-46.66403395427191 -23.56181450412445)
1414,-23.559623493719684,-46.663496455320605,sp,sao paulo,POINT (-46.6634964553206 -23.55962349371968)
1415,-23.55609171648326,-46.660462198375534,sp,sao paulo,POINT (-46.66046219837553 -23.55609171648326)
1416,-23.56069291396141,-46.6676885326705,sp,sao paulo,POINT (-46.6676885326705 -23.56069291396141)
1417,-23.55277885309958,-46.63393189503633,sp,sao paulo,POINT (-46.63393189503633 -23.55277885309958)
1418,-23.56411614903987,-46.65527239864379,sp,sao paulo,POINT (-46.65527239864379 -23.56411614903987)
1419,-23.563541620009783,-46.655949613048826,sp,sao paulo,POINT (-46.65594961304883 -23.56354162000978)
1420,-23.563435490498804,-46.65791603919698,sp,sao paulo,POINT (-46.65791603919698 -23.5634354904988)
1421,-23.563299264968794,-46.66015369245716,sp,sao paulo,POINT (-46.66015369245716 -23.56329926496879)
1422,-23.563961910707366,-46.661132368415885,sp,sao paulo,POINT (-46.66113236841588 -23.56396191070737)
1423,-23.5691451171934,-46.65734766505131,sp,sao paulo,POINT (-46.65734766505131 -23.5691451171934)
1424,-23.568041456805936,-46.66139884320943,sp,sao paulo,POINT (-46.66139884320943 -23.56804145680594)
1425,-23.57289853249542,-46.65924739236762,sp,sao paulo,POINT (-46.65924739236762 -23.57289853249542)
1426,-23.56586039709828,-46.666031696326776,sp,sao paulo,POINT (-46.66603169632678 -23.56586039709828)
1427,-23.5710447647916,-46.664068614217655,sp,sao paulo,POINT (-46.66406861421765 -23.57104476479159)
1428,-23.573938872860044,-46.66232632374679,sp,sao paulo,POINT (-46.66232632374679 -23.57393887286004)
1429,-23.57638445552909,-46.662900007074334,sp,sao paulo,POINT (-46.66290000707433 -23.57638445552909)
1430,-23.65614006235602,-46.66250204609212,sp,sao paulo,POINT (-46.66250204609212 -23.65614006235602)
1431,-23.620388779836063,-46.66476818452366,sp,sao paulo,POINT (-46.66476818452366 -23.62038877983607)
1432,-23.576485879806,-46.6657860583567,sp,sao paulo,POINT (-46.6657860583567 -23.57648587980599)
1433,-23.57840745461661,-46.66837295595987,sp,sao paulo,POINT (-46.66837295595987 -23.57840745461661)
1434,-23.574646544842807,-46.67237739901525,sp,sao paulo,POINT (-46.67237739901525 -23.57464654484281)
1435,-23.57932184560537,-46.67017866896868,sp,sao paulo,POINT (-46.67017866896868 -23.57932184560537)
1436,-23.57245538592821,-46.66798871616942,sp,sao paulo,POINT (-46.66798871616942 -23.57245538592821)
1437,-23.5721412540443,-46.67150329618942,sp,sao paulo,POINT (-46.67150329618942 -23.5721412540443)
1438,-23.56980370877425,-46.67226487905968,sp,sao paulo,POINT (-46.67226487905968 -23.56980370877425)
1439,-23.566289488092035,-46.67357141778229,sp,sao paulo,POINT (-46.67357141778228 -23.56628948809204)
1440,-23.568289458157125,-46.67817024606098,sp,sao paulo,POINT (-46.67817024606098 -23.56828945815712)
1441,-23.57060389426133,-46.68373209675989,sp,sao paulo,POINT (-46.68373209675989 -23.57060389426134)
1442,-23.566530732061704,-46.67861605515884,sp,sao paulo,POINT (-46.67861605515884 -23.5665307320617)
1443,-23.568268938910105,-46.68450786333133,sp,sao paulo,POINT (-46.68450786333133 -23.5682689389101)
1444,-23.573235541829785,-46.68752695447545,sp,sao paulo,POINT (-46.68752695447545 -23.57323554182978)
1445,-23.57103798335723,-46.6880680072701,sp,sao paulo,POINT (-46.6880680072701 -23.57103798335723)
1446,-23.575583788550983,-46.675498893884544,sp,sao paulo,POINT (-46.67549889388454 -23.57558378855098)
1447,-23.57278680948972,-46.67888556258398,sp,sao paulo,POINT (-46.67888556258398 -23.57278680948971)
1448,-23.578237896388124,-46.6798226933562,sp,sao paulo,POINT (-46.6798226933562 -23.57823789638812)
1449,-23.57611691772789,-46.67995669824681,sp,sao paulo,POINT (-46.67995669824681 -23.57611691772789)
1450,-23.57645317887297,-46.68518508958671,sp,sao paulo,POINT (-46.68518508958671 -23.57645317887297)
1451,-23.577435950107763,-46.68698984950365,sp,sao paulo,POINT (-46.68698984950365 -23.57743595010776)
1452,-23.574996445978105,-46.68887938403559,sp,sao paulo,POINT (-46.68887938403559 -23.5749964459781)
1453,-23.584059003974733,-46.686376108944685,sp,sao paulo,POINT (-46.68637610894469 -23.58405900397473)
1454,-23.582376976278088,-46.68670275509791,sp,sao paulo,POINT (-46.68670275509791 -23.58237697627809)
1455,-23.5805541360028,-46.69112136854047,sp,sao paulo,POINT (-46.69112136854047 -23.5805541360028)
1456,-23.576839765441044,-46.690987249007264,sp,sao paulo,POINT (-46.69098724900726 -23.57683976544104)
1457,-23.575237809829588,-46.69270350960497,sp,sao paulo,POINT (-46.69270350960497 -23.57523780982959)
1472,-23.57054369248079,-46.69129667943905,sp,sao paulo,POINT (-46.69129667943905 -23.57054369248079)
1489,-23.57664998889148,-46.68740004775216,sp,sao paulo,POINT (-46.68740004775216 -23.57664998889148)
1501,-23.55246935619688,-46.63548543836741,sp,sao paulo,POINT (-46.63548543836741 -23.55246935619687)
1502,-23.55460594212854,-46.635492561139046,sp,sao paulo,POINT (-46.63549256113905 -23.55460594212854)
1503,-23.557709002952706,-46.63676937101554,sp,sao paulo,POINT (-46.63676937101554 -23.5577090029527)
1504,-23.566860580458098,-46.63950529622234,sp,sao paulo,POINT (-46.63950529622234 -23.5668605804581)
1505,-23.55526761118644,-46.63182476204627,sp,sao paulo,POINT (-46.63182476204627 -23.55526761118644)
1506,-23.55955866786248,-46.63503218503183,sp,sao paulo,POINT (-46.63503218503183 -23.55955866786248)
1507,-23.558146418434657,-46.63176589052542,sp,sao paulo,POINT (-46.63176589052542 -23.55814641843466)
1508,-23.56142363121043,-46.63583005941286,sp,sao paulo,POINT (-46.63583005941286 -23.56142363121043)
1509,-23.567010080253134,-46.6357981412501,sp,sao paulo,POINT (-46.6357981412501 -23.56701008025313)
1510,-23.55760216498659,-46.63361528281082,sp,sao paulo,POINT (-46.63361528281082 -23.55760216498659)
1511,-23.561456812728604,-46.63294793571508,sp,sao paulo,POINT (-46.63294793571508 -23.5614568127286)
1512,-23.55371720607981,-46.62949909730413,sp,sao paulo,POINT (-46.62949909730413 -23.55371720607981)
1513,-23.548914356972645,-46.60384461609752,sp,sao paulo,POINT (-46.60384461609752 -23.54891435697265)
1514,-23.55437781878454,-46.628337768628526,sp,sao paulo,POINT (-46.62833776862853 -23.55437781878454)
1516,-23.559073244239706,-46.61547996424181,sp,sao paulo,POINT (-46.61547996424181 -23.5590732442397)
1517,-23.559613278440462,-46.62400348069893,sp,sao paulo,POINT (-46.62400348069892 -23.55961327844046)
